A	B	Competition	Complementarity
Pauljensenia_sp900541895_UMGS402	S_sp000187445_VTCC12814	0.5865921787709500	0.11666666666666700
Pauljensenia_sp900541895_UMGS402	Veillonella_sp018367495_L3_098_332G1etc	0.5977653631284920	0.15748031496063000
Pauljensenia_sp900541895_UMGS402	bin1003550	0.6145251396648050	0.13385826771653500
S_sp000187445_VTCC12814	Pauljensenia_sp900541895_UMGS402	0.603448275862069	0.17829457364341100
S_sp000187445_VTCC12814	Veillonella_sp018367495_L3_098_332G1etc	0.6724137931034480	0.1
S_sp000187445_VTCC12814	bin1003550	0.5574712643678160	0.16379310344827600
Veillonella_sp018367495_L3_098_332G1etc	Pauljensenia_sp900541895_UMGS402	0.4908256880733950	0.10833333333333300
Veillonella_sp018367495_L3_098_332G1etc	S_sp000187445_VTCC12814	0.536697247706422	0.07874015748031500
Veillonella_sp018367495_L3_098_332G1etc	bin1003550	0.536697247706422	0.13333333333333300
bin1003550	Pauljensenia_sp900541895_UMGS402	0.5729166666666670	0.06779661016949150
bin1003550	S_sp000187445_VTCC12814	0.5052083333333330	0.08490566037735850
bin1003550	Veillonella_sp018367495_L3_098_332G1etc	0.609375	0.10687022900763400
