module	R_mucilaginosa_A_i1P6Tongue	R_mucilaginosa_A_i6P16Tongue	R_mucilaginosa_A_i6P16Tooth	R_mucilaginosa_A_mP3Tongue	R_mucilaginosa_A_mP6Tongue	R_mucilaginosa_i6P13Tooth	R_mucilaginosa_i6P1Tongue	R_mucilaginosa_i6P1Tooth	R_mucilaginosa_i6P24Tongue	R_mucilaginosa_i6P6Tongue	R_mucilaginosa_mP10Tongue	R_mucilaginosa_mP11Tongue	R_mucilaginosa_mP11Tooth	R_mucilaginosa_mP15Tongue	R_mucilaginosa_mP18Tongue	R_mucilaginosa_mP19Tooth	R_mucilaginosa_mP1Tongue	R_mucilaginosa_mP1Tooth	R_mucilaginosa_mP21Tongue	R_mucilaginosa_mP24Tooth	R_mucilaginosa_mP7Tongue	R_mucilaginosa_mP9Tongue	Rothia_sp001808955_i1P15Tongue	Rothia_sp001808955_i6P15Tongue	Rothia_sp001808955_i6P15Tooth	Rothia_sp001808955_mP14Tongue	Rothia_sp001808955_mP21Tooth	Rothia_sp001808955_mP23Tongue	Rothia_sp001808955_mP23Tooth	Rothia_sp001808955_mP24Tongue	Rothia_sp001808955_mP2Tooth	Rothia_sp001808955_mP3Tooth	Rothia_sp001808955_mP5Tooth	Rothia_sp001836735_i6P13Tongue	Rothia_sp001836735_mP16Tongue	Rothia_sp902373285_i6P10Tongue	Rothia_sp902373285_i6P10Tooth	Rothia_sp902373285_i6P11Tongue	Rothia_sp902373285_i6P11Tooth	Rothia_sp902373285_i6P12Tongue	Rothia_sp902373285_i6P12Tooth	Rothia_sp902373285_i6P14Tooth	Rothia_sp902373285_i6P17Tongue	Rothia_sp902373285_i6P17Tooth	Rothia_sp902373285_i6P19Tooth	Rothia_sp902373285_i6P2Tongue	Rothia_sp902373285_i6P5Tooth	Rothia_sp902373285_i6P7Tongue	Rothia_sp902373285_i6P7Tooth	Rothia_sp902373285_i6P8Tongue	rmucilaginosa141RMUC_43675	rmucilaginosaATCC25296	rmucilaginosaDY18
M00001	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00002	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00003	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00004	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00005	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
M00006	1	1	1	1	1	0	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00007	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00011	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1
M00016	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	0	1	1	1	1	0	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
M00017	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
