Node	node_type	bigg_id	universal_bigg_id	metabolite_name	Super.class	bigg_model_list	database_links
(R)-3-Hydroxybutyryl-CoA	metabolite	3hbcoa__R_c	3hbcoa__R	(R)-3-Hydroxybutyryl-CoA	Lipids and lipid-like molecules	Recon3D; iCHOv1_DG44; iAM_Pb448; iAM_Pv461; iAM_Pk459; iJN1463; iAM_Pc455; iAM_Pf480; iCN718; iSynCJ816; iCN900; iCHOv1; iRC1080; iJN678	MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM162788
(R)-3-hydroxytetradecanoyl-coa	metabolite	R_3hmrscoa_c	R_3hmrscoa	(R)-3-hydroxytetradecanoyl-coa	Lipids and lipid-like molecules	iJN1463; iJN746	CHEBI: http://identifiers.org/chebi/CHEBI:74277; CHEBI: http://identifiers.org/chebi/CHEBI:74458; BioCyc: http://identifiers.org/biocyc/META:CPD-14923; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM162724; InChI Key: https://identifiers.org/inchikey/OXBHKMHNDGRDCZ-FZFQHCCSSA-J; SEED Compound: http://identifiers.org/seed.compound/cpd16758
(R)-Hydroxyoctanoyl-CoA	metabolite	R_3hocoa_c	R_3hocoa	(R)-Hydroxyoctanoyl-CoA	Lipids and lipid-like molecules	iJN746; iJN1463	MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM4930; SEED Compound: http://identifiers.org/seed.compound/cpd16759
2-Oxo-3-hydroxy-4-phosphobutanoate	metabolite	ohpb_c	ohpb	2-Oxo-3-hydroxy-4-phosphobutanoate	Organic acids and derivatives	iEC55989_1330; iECDH1ME8569_1439; iECB_1328; iECED1_1282; iECD_1391; iECBD_1354; iECDH10B_1368; iECH74115_1262; iECABU_c1320; iEcDH1_1363; iEcE24377_1341; iECW_1372; iECUMN_1333; iEcSMS35_1347; iG2583_1286; iECSF_1327; iLF82_1304; iEKO11_1354; iS_1188; iECSE_1348; iETEC_1333; iNRG857_1313; iECSP_1301; iECIAI39_1322; iECO26_1355; iEcolC_1368; iECNA114_1301; iECIAI1_1343; iECs_1301; iECO103_1326; iECO111_1330; iEcHS_1320; iECS88_1305; iECOK1_1307; iECP_1309; iEC1372_W3110; iJN1463; iEC1368_DH5a; iCN718; iYS1720; iEC1364_W; iEC1344_C; iB21_1397; ic_1306; iNJ661; iJN746; iAF1260; iMM904; iSF_1195; iE2348C_1286; iJO1366; iEC042_1314; iPC815; iBWG_1329; iAPECO1_1312; iND750; iUMN146_1321; iSDY_1059; iUMNK88_1353; iSFV_1184; iJR904; iUTI89_1310; iWFL_1372; iSFxv_1172; iSSON_1240; iSBO_1134; iSbBS512_1146; iZ_1308; STM_v1_0; iY75_1357; iYL1228; iAF1260b; iAF987; iEC1356_Bl21DE3; iEC1349_Crooks; iML1515; iJB785; iNF517	KEGG Compound: http://identifiers.org/kegg.compound/C06054; CHEBI: http://identifiers.org/chebi/CHEBI:1240; CHEBI: http://identifiers.org/chebi/CHEBI:19731; CHEBI: http://identifiers.org/chebi/CHEBI:27951; CHEBI: http://identifiers.org/chebi/CHEBI:58538; Human Metabolome Database: http://identifiers.org/hmdb/HMDB06801; BioCyc: http://identifiers.org/biocyc/META:3OH-4P-OH-ALPHA-KETOBUTYRATE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1514; InChI Key: https://identifiers.org/inchikey/MZJFVXDTNBHTKZ-UWTATZPHSA-K; SEED Compound: http://identifiers.org/seed.compound/cpd03606
3-(Imidazol-4-yl)-2-oxopropyl phosphate	metabolite	imacp_c	imacp	3-(Imidazol-4-yl)-2-oxopropyl phosphate	Organic acids and derivatives	iECBD_1354; iECDH10B_1368; iECED1_1282; iEcDH1_1363; iEcHS_1320; iECABU_c1320; iECD_1391; iECB_1328; iEC55989_1330; iEcE24377_1341; iECDH1ME8569_1439; iECH74115_1262; iECUMN_1333; iLF82_1304; iG2583_1286; iEcSMS35_1347; iECSP_1301; iNRG857_1313; iECSF_1327; iEKO11_1354; iS_1188; iECSE_1348; iETEC_1333; iECW_1372; iECP_1309; iECO26_1355; iECNA114_1301; iECIAI39_1322; iECs_1301; iECIAI1_1343; iECOK1_1307; iEcolC_1368; iECO111_1330; iECO103_1326; iECS88_1305; iJN1463; iEC1364_W; iCN718; iEC1344_C; iCN900; iYS1720; iEC1368_DH5a; iEC1372_W3110; iSynCJ816; iEC1349_Crooks; iML1515; iEK1008; iNF517; iYS854; iLB1027_lipid; iEC1356_Bl21DE3; iJB785; iBWG_1329; iMM904; iJO1366; iPC815; iE2348C_1286; iAPECO1_1312; iNJ661; ic_1306; iJN746; iB21_1397; iSB619; iSF_1195; iND750; iEC042_1314; iAF1260; iHN637; iYO844; iAF987; iY75_1357; iAF1260b; iLJ478; STM_v1_0; iJN678; iRC1080; iAF692; iJR904; iSSON_1240; iSBO_1134; iSDY_1059; iYL1228; iSFV_1184; iSbBS512_1146; iSFxv_1172; iUTI89_1310; iZ_1308; iUMNK88_1353; iUMN146_1321; iWFL_1372	KEGG Compound: http://identifiers.org/kegg.compound/C01267; CHEBI: http://identifiers.org/chebi/CHEBI:11736; CHEBI: http://identifiers.org/chebi/CHEBI:1437; CHEBI: http://identifiers.org/chebi/CHEBI:16426; CHEBI: http://identifiers.org/chebi/CHEBI:19941; CHEBI: http://identifiers.org/chebi/CHEBI:57766; Human Metabolome Database: http://identifiers.org/hmdb/HMDB12236; BioCyc: http://identifiers.org/biocyc/META:IMIDAZOLE-ACETOL-P; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1456; InChI Key: https://identifiers.org/inchikey/YCFFMSOLUMRAMD-UHFFFAOYSA-L; SEED Compound: http://identifiers.org/seed.compound/cpd00930
5-Formyltetrahydrofolate	metabolite	5fthf_c	5fthf	5-Formyltetrahydrofolate	Organoheterocyclic compounds	iMM1415; iRC1080; iAF987; RECON1; iLJ478; iCHOv1; iY75_1357; iJN678; iEK1008; iYS854; iLB1027_lipid; Recon3D; iCHOv1_DG44; iEC1349_Crooks; iEC1356_Bl21DE3; iML1515; iBWG_1329; iAPECO1_1312; iB21_1397; iE2348C_1286; iEC042_1314; iJO1366; iMM904; iND750; iSF_1195; iNJ661; ic_1306; iECOK1_1307; iEcolC_1368; iECP_1309; iECIAI39_1322; iECIAI1_1343; iECO103_1326; iECs_1301; iECO26_1355; iECNA114_1301; iECS88_1305; iECO111_1330; iAM_Pk459; iEC1364_W; iAM_Pc455; iAM_Pf480; iCN718; iJN1463; iEC1368_DH5a; iEC1372_W3110; iCN900; iAM_Pv461; iSynCJ816; iAM_Pb448; iEC1344_C; iS_1188; iECSE_1348; iECSP_1301; iECUMN_1333; iECW_1372; iECSF_1327; iLF82_1304; iEKO11_1354; iEcSMS35_1347; iETEC_1333; iG2583_1286; iNRG857_1313; iEcHS_1320; iEC55989_1330; iEcE24377_1341; iECD_1391; iECB_1328; iECDH1ME8569_1439; iEcDH1_1363; iECDH10B_1368; iECED1_1282; iECH74115_1262; iECBD_1354; iECABU_c1320; iUTI89_1310; iUMN146_1321; iSbBS512_1146; iSFV_1184; iSDY_1059; iWFL_1372; iUMNK88_1353; iSBO_1134; iSFxv_1172; iSSON_1240; iZ_1308	KEGG Compound: http://identifiers.org/kegg.compound/C03479; CHEBI: http://identifiers.org/chebi/CHEBI:12127; CHEBI: http://identifiers.org/chebi/CHEBI:15640; CHEBI: http://identifiers.org/chebi/CHEBI:18607; CHEBI: http://identifiers.org/chebi/CHEBI:2057; CHEBI: http://identifiers.org/chebi/CHEBI:57457; CHEBI: http://identifiers.org/chebi/CHEBI:63606; CHEBI: http://identifiers.org/chebi/CHEBI:65340; KEGG Drug: http://identifiers.org/kegg.drug/D07986; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01562; Human Metabolome Database: http://identifiers.org/hmdb/HMDB06206; Human Metabolome Database: http://identifiers.org/hmdb/HMDB62757; BioCyc: http://identifiers.org/biocyc/META:5-FORMYL-THF; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM1392; InChI Key: https://identifiers.org/inchikey/VVIAGPKUTFNRDU-STQMWFEESA-L; SEED Compound: http://identifiers.org/seed.compound/cpd02197
Agmatine	metabolite	agm_p	agm	Agmatine	Organic nitrogen compounds	iECH74115_1262; iEC55989_1330; iECED1_1282; iECDH10B_1368; iECBD_1354; iEcDH1_1363; iEcE24377_1341; iEcHS_1320; iECABU_c1320; iECD_1391; iECDH1ME8569_1439; iECB_1328; iECIAI1_1343; iECS88_1305; iECOK1_1307; iECIAI39_1322; iEcolC_1368; iECNA114_1301; iECO111_1330; iECP_1309; iECO26_1355; iECs_1301; iECO103_1326; iEC042_1314; iJO1366; ic_1306; iAPECO1_1312; iAF1260; iSF_1195; iPC815; iE2348C_1286; iBWG_1329; iB21_1397; iEC1368_DH5a; iJN1463; iYS1720; iEC1344_C; iEC1364_W; iEC1372_W3110; iEcSMS35_1347; iECSE_1348; iNRG857_1313; iLF82_1304; iEKO11_1354; iG2583_1286; iECSF_1327; iECSP_1301; iETEC_1333; iS_1188; iECW_1372; iECUMN_1333; iUMNK88_1353; iYL1228; iSFxv_1172; iUMN146_1321; iSSON_1240; iSbBS512_1146; iUTI89_1310; iZ_1308; iSBO_1134; iSFV_1184; iSDY_1059; iWFL_1372; iAF1260b; iY75_1357; STM_v1_0; iEC1356_Bl21DE3; iEC1349_Crooks; iML1515	Reactome Compound: http://identifiers.org/reactome/R-ALL-351164; KEGG Compound: http://identifiers.org/kegg.compound/C00179; CHEBI: http://identifiers.org/chebi/CHEBI:13747; CHEBI: http://identifiers.org/chebi/CHEBI:17431; CHEBI: http://identifiers.org/chebi/CHEBI:18576; CHEBI: http://identifiers.org/chebi/CHEBI:2514; CHEBI: http://identifiers.org/chebi/CHEBI:40556; CHEBI: http://identifiers.org/chebi/CHEBI:58145; Human Metabolome Database: http://identifiers.org/hmdb/HMDB01432; Human Metabolome Database: http://identifiers.org/hmdb/HMDB60259; BioCyc: http://identifiers.org/biocyc/META:AGMATHINE; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM328; InChI Key: https://identifiers.org/inchikey/QYPPJABKJHAVHS-UHFFFAOYSA-P; SEED Compound: http://identifiers.org/seed.compound/cpd00152
Alpha D-glucose	metabolite	glc__aD_c	glc__aD	Alpha D-glucose	Organic oxygen compounds	iLJ478; iCN900	Reactome Compound: http://identifiers.org/reactome/R-ALL-113780; Reactome Compound: http://identifiers.org/reactome/R-ALL-1605745; Reactome Compound: http://identifiers.org/reactome/R-ALL-70113; Reactome Compound: http://identifiers.org/reactome/R-ALL-70115; Reactome Compound: http://identifiers.org/reactome/R-ALL-964746; KEGG Compound: http://identifiers.org/kegg.compound/C00267; CHEBI: http://identifiers.org/chebi/CHEBI:10242; CHEBI: http://identifiers.org/chebi/CHEBI:12318; CHEBI: http://identifiers.org/chebi/CHEBI:17925; CHEBI: http://identifiers.org/chebi/CHEBI:22386; CHEBI: http://identifiers.org/chebi/CHEBI:37625; CHEBI: http://identifiers.org/chebi/CHEBI:40557; CHEBI: http://identifiers.org/chebi/CHEBI:42756; CHEBI: http://identifiers.org/chebi/CHEBI:42758; CHEBI: http://identifiers.org/chebi/CHEBI:42802; Human Metabolome Database: http://identifiers.org/hmdb/HMDB03345; BioCyc: http://identifiers.org/biocyc/META:ALPHA-GLUCOSE; BioCyc: http://identifiers.org/biocyc/META:CPD-15374; BioCyc: http://identifiers.org/biocyc/META:D-Glucose; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM99; InChI Key: https://identifiers.org/inchikey/WQZGKKKJIJFFOK-DVKNGEFBSA-N; SEED Compound: http://identifiers.org/seed.compound/cpd19001
Alpha-D-glucose 6 phosphate	metabolite	g6p_A_c	g6p_A	Alpha-D-glucose 6 phosphate	Organic oxygen compounds	iIS312_Amastigote; iIS312_Trypomastigote; iCN900; iIS312; iIS312_Epimastigote; iRC1080	KEGG Compound: http://identifiers.org/kegg.compound/C00668; CHEBI: http://identifiers.org/chebi/CHEBI:10245; CHEBI: http://identifiers.org/chebi/CHEBI:12321; CHEBI: http://identifiers.org/chebi/CHEBI:17665; CHEBI: http://identifiers.org/chebi/CHEBI:22389; CHEBI: http://identifiers.org/chebi/CHEBI:42748; CHEBI: http://identifiers.org/chebi/CHEBI:58225; BioCyc: http://identifiers.org/biocyc/META:ALPHA-GLC-6-P; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM215; InChI Key: https://identifiers.org/inchikey/NBSCHQHZLSJFNQ-DVKNGEFBSA-L; SEED Compound: http://identifiers.org/seed.compound/cpd19006
Ammonia	metabolite	nh3_c	nh3	Ammonia	Homogeneous non-metal compounds	iJN746; iIS312; iIS312_Trypomastigote; iCN718; iIS312_Amastigote; iSynCJ816; iIS312_Epimastigote; iYS1720; iNF517; iLJ478	Reactome Compound: http://identifiers.org/reactome/R-ALL-1132163; Reactome Compound: http://identifiers.org/reactome/R-ALL-113561; Reactome Compound: http://identifiers.org/reactome/R-ALL-140912; Reactome Compound: http://identifiers.org/reactome/R-ALL-2022135; Reactome Compound: http://identifiers.org/reactome/R-ALL-29382; Reactome Compound: http://identifiers.org/reactome/R-ALL-31633; Reactome Compound: http://identifiers.org/reactome/R-ALL-389843; Reactome Compound: http://identifiers.org/reactome/R-ALL-5693978; Reactome Compound: http://identifiers.org/reactome/R-ALL-76230; KEGG Compound: http://identifiers.org/kegg.compound/C00014; KEGG Compound: http://identifiers.org/kegg.compound/C01342; CHEBI: http://identifiers.org/chebi/CHEBI:13405; CHEBI: http://identifiers.org/chebi/CHEBI:13406; CHEBI: http://identifiers.org/chebi/CHEBI:13407; CHEBI: http://identifiers.org/chebi/CHEBI:135980; CHEBI: http://identifiers.org/chebi/CHEBI:13771; CHEBI: http://identifiers.org/chebi/CHEBI:16134; CHEBI: http://identifiers.org/chebi/CHEBI:22533; CHEBI: http://identifiers.org/chebi/CHEBI:22534; CHEBI: http://identifiers.org/chebi/CHEBI:28938; CHEBI: http://identifiers.org/chebi/CHEBI:29337; CHEBI: http://identifiers.org/chebi/CHEBI:29340; CHEBI: http://identifiers.org/chebi/CHEBI:44269; CHEBI: http://identifiers.org/chebi/CHEBI:44284; CHEBI: http://identifiers.org/chebi/CHEBI:44404; CHEBI: http://identifiers.org/chebi/CHEBI:49783; CHEBI: http://identifiers.org/chebi/CHEBI:7434; CHEBI: http://identifiers.org/chebi/CHEBI:7435; KEGG Drug: http://identifiers.org/kegg.drug/D02915; KEGG Drug: http://identifiers.org/kegg.drug/D02916; Human Metabolome Database: http://identifiers.org/hmdb/HMDB00051; Human Metabolome Database: http://identifiers.org/hmdb/HMDB41827; BioCyc: http://identifiers.org/biocyc/META:AMMONIA; BioCyc: http://identifiers.org/biocyc/META:AMMONIUM; MetaNetX (MNX) Chemical: http://identifiers.org/metanetx.chemical/MNXM15; InChI Key: https://identifiers.org/inchikey/QGZKDVFQNNGYKY-UHFFFAOYSA-O; SEED Compound: http://identifiers.org/seed.compound/cpd00013; SEED Compound: http://identifiers.org/seed.compound/cpd19013
