module	genome_name	db_name	module_name	module_class	module_category	module_subcategory	module_definition	stepwise_module_completeness	stepwise_module_is_complete	pathwise_module_completeness	pathwise_module_is_complete	proportion_unique_enzymes_present	enzymes_unique_to_module	unique_enzymes_hit_counts	enzyme_hits_in_module	gene_caller_ids_in_module	warnings	pathwise_copy_number	stepwise_copy_number	per_step_copy_numbers
M00001	bin1001414	R_mucilaginosa_A_i1P6Tongue	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K00844,K12407,K00845,K25026,K00886,K08074,K00918) (K01810,K06859,K13810,K15916) (K00850,K16370,K21071,K00918) (K01623,K01624,K11645,K16305,K16306) K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00134,K00134,K00873,K00886,K00927,K01624,K01689,K01803,K01810,K01834,K21071	187,484,1418,61,188,502,913,198,1530,1616,385	K01624 is present in multiple modules: M00001/M00003/M00165/M00167/M00345/M00344/M00611/M00612,K00873 is present in multiple modules: M00001/M00002,K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K21071 is present in multiple modules: M00001/M00345,K00886 is present in multiple modules: M00001/M00549,K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K01810 is present in multiple modules: M00001/M00004/M00892/M00909,K01803 is present in multiple modules: M00001/M00002/M00003,K01834 is present in multiple modules: M00001/M00002/M00003,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612	1	1	1,1,1,1,1,1,1,1,1
M00002	bin1001414	R_mucilaginosa_A_i1P6Tongue	Glycolysis, core module involving three-carbon compounds	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K01803 ((K00134,K00150) K00927,K11389) (K01834,K15633,K15634,K15635) K01689 (K00873,K12406)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00134,K00134,K00873,K00927,K01689,K01803,K01834	187,484,1418,188,913,198,1616	K00873 is present in multiple modules: M00001/M00002,K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K01803 is present in multiple modules: M00001/M00002/M00003,K01834 is present in multiple modules: M00001/M00002/M00003,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612	1	1	1,1,1,1,1
M00003	bin1001414	R_mucilaginosa_A_i1P6Tongue	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01596,K01610) K01689 (K01834,K15633,K15634,K15635) K00927 (K00134,K00150) K01803 ((K01623,K01624,K11645) (K03841,K02446,K11532,K01086,K04041),K01622)"	1.0	True	1.0	True	1.0	K01596	1	K00134,K00134,K00927,K01596,K01624,K01689,K01803,K01834,K02446	187,484,188,1605,502,913,198,1616,932	K01624 is present in multiple modules: M00001/M00003/M00165/M00167/M00345/M00344/M00611/M00612,K01689 is present in multiple modules: M00001/M00002/M00003/M00346,K00134 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612,K02446 is present in multiple modules: M00003/M00165/M00167/M00611/M00612,K01803 is present in multiple modules: M00001/M00002/M00003,K01834 is present in multiple modules: M00001/M00002/M00003,K00927 is present in multiple modules: M00001/M00002/M00003/M00308/M00552/M00165/M00166/M00611/M00612	1	1	1,1,1,1,2,1,1
M00307	bin1001414	R_mucilaginosa_A_i1P6Tongue	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"((K00163,K00161+K00162)+K00627+K00382-K13997),K00169+K00170+K00171+(K00172,K00189),K03737"	1.0	True	1.0	True	1.0	K00163,K00627	1,1	K00163,K00382,K00627	716,665,664	K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032	1	1	1
M00009	bin1001414	R_mucilaginosa_A_i1P6Tongue	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K01647,K05942) (K01681,K01682) (K00031,K00030) ((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"	0.625	False	0.625	False	NA	No enzymes unique to module	NA	K00116,K00239,K00240,K00241,K00242,K00382,K01616,K01679,K01902,K01903	680,908,909,906,907,665,649,930,1181,1180	K00240 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614,K01679 is present in multiple modules: M00009/M00011/M00173/M00376/M00613/M00614,K01903 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614,K00116 is present in multiple modules: M00009/M00011,K01902 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614,K00242 is present in multiple modules: M00009/M00011/M00173/M00149/M00613/M00614,K01616 is present in multiple modules: M00009/M00011,K00241 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614,K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032,K00239 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614	0	0	0,0,0,1,1,1,1,1
M00011	bin1001414	R_mucilaginosa_A_i1P6Tongue	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"((K00164+K00658,K01616)+K00382,K00174+K00175-K00177-K00176) (K01902+K01903,K01899+K01900,K18118) (K00234+K00235+K00236+(K00237,K25801),K00239+K00240+K00241-(K00242,K18859,K18860),K00244+K00245+K00246-K00247) (K01676,K01679,K01677+K01678) (K00026,K00025,K00024,K00116)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00116,K00239,K00240,K00241,K00242,K00382,K01616,K01679,K01902,K01903	680,908,909,906,907,665,649,930,1181,1180	K00240 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614,K01679 is present in multiple modules: M00009/M00011/M00173/M00376/M00613/M00614,K01903 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614,K00116 is present in multiple modules: M00009/M00011,K01902 is present in multiple modules: M00009/M00011/M00173/M00374/M00620/M00614,K00242 is present in multiple modules: M00009/M00011/M00173/M00149/M00613/M00614,K01616 is present in multiple modules: M00009/M00011,K00241 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614,K00382 is present in multiple modules: M00307/M00009/M00011/M00532/M00621/M00036/M00032,K00239 is present in multiple modules: M00009/M00011/M00173/M00376/M00374/M00149/M00613/M00614	1	1	1,1,1,1,1
M00004	bin1001414	R_mucilaginosa_A_i1P6Tongue	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K13937,((K00036,K19243) (K01057,K07404))) K00033 K01783 (K01807,K01808) K00615 ((K00616 (K01810,K06859,K15916)),K13810)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00033,K00036,K00615,K00616,K01057,K01783,K01808,K01810	717,207,209,208,205,705,1726,1530	K01808 is present in multiple modules: M00004/M00007/M00165/M00167/M00611/M00612,K00616 is present in multiple modules: M00004/M00007,K00036 is present in multiple modules: M00004/M00006/M00008,K01810 is present in multiple modules: M00001/M00004/M00892/M00909,K00615 is present in multiple modules: M00004/M00007/M00165/M00167/M00611/M00612,K00033 is present in multiple modules: M00004/M00006,K01057 is present in multiple modules: M00004/M00006/M00008,K01783 is present in multiple modules: M00004/M00007	1	1	1,1,1,1,1,1
M00006	bin1001414	R_mucilaginosa_A_i1P6Tongue	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"(K13937,((K00036,K19243) (K01057,K07404))) K00033"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00033,K00036,K01057	717,207,205	K00033 is present in multiple modules: M00004/M00006,K01057 is present in multiple modules: M00004/M00006/M00008,K00036 is present in multiple modules: M00004/M00006/M00008	1	1	1,1
M00007	bin1001414	R_mucilaginosa_A_i1P6Tongue	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00615 (K00616,K13810) K01783 (K01807,K01808)"	1.0	True	1.0	True	NA	No enzymes unique to module	NA	K00615,K00616,K01783,K01808	209,208,705,1726	K01808 is present in multiple modules: M00004/M00007/M00165/M00167/M00611/M00612,K00616 is present in multiple modules: M00004/M00007,K01783 is present in multiple modules: M00004/M00007,K00615 is present in multiple modules: M00004/M00007/M00165/M00167/M00611/M00612	1	1	1,1,1,1
M00005	bin1001414	R_mucilaginosa_A_i1P6Tongue	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules	Carbohydrate metabolism	Central carbohydrate metabolism	"K00948"	1.0	True	1.0	True	1.0	K00948	1	K00948	1664	None	1	1	1
