bin	cazyme	copy_number	group	name	genome_completeness
S_lactarius_ASSEMBLYK77_EHC8_1833_18	GH13_40	2	LACTARIUS	S_lactarius_ASSEMBLYK77_EHC8_1833_18	85.92
S_lactarius_ASSEMBLYK77_EHC8_1833_18	GH13_22	1	LACTARIUS	S_lactarius_ASSEMBLYK77_EHC8_1833_18	85.92
S_lactarius_ASSEMBLYK77_EHC8_1833_18	GH43_24	0	LACTARIUS	S_lactarius_ASSEMBLYK77_EHC8_1833_18	85.92
S_lactarius_ASSEMBLYK77_EHC8_1833_18	GH33	0	LACTARIUS	S_lactarius_ASSEMBLYK77_EHC8_1833_18	85.92
S_lactarius_ASSEMBLYK77_EHC8_1833_18	GH121	1	LACTARIUS	S_lactarius_ASSEMBLYK77_EHC8_1833_18	85.92
S_lactarius_ASSEMBLYK77_EHC8_1833_18	GT26	0	LACTARIUS	S_lactarius_ASSEMBLYK77_EHC8_1833_18	85.92
S_lactarius_ASSEMBLYK77_EHC8_1833_18	GH13_39	4	LACTARIUS	S_lactarius_ASSEMBLYK77_EHC8_1833_18	85.92
S_lactarius_ASSEMBLYK77_EHC8_1833_18	GT81	0	LACTARIUS	S_lactarius_ASSEMBLYK77_EHC8_1833_18	85.92
S_lactarius_ASSEMBLYK77_EHC8_1833_18	GH43_12	0	LACTARIUS	S_lactarius_ASSEMBLYK77_EHC8_1833_18	85.92
S_lactarius_ASSEMBLYK77_EHC8_1833_18	GH13_20	4	LACTARIUS	S_lactarius_ASSEMBLYK77_EHC8_1833_18	85.92
S_lactarius_ASSEMBLYK77_EHC8_1833_18	GT5	2	LACTARIUS	S_lactarius_ASSEMBLYK77_EHC8_1833_18	85.92
S_lactarius_ASSEMBLYK77_EHC8_1833_18	GH101	1	LACTARIUS	S_lactarius_ASSEMBLYK77_EHC8_1833_18	85.92
S_lactarius_ASSEMBLYK77_EHC8_1833_18	GH106	0	LACTARIUS	S_lactarius_ASSEMBLYK77_EHC8_1833_18	85.92
S_lactarius_ASSEMBLYK77_EHC8_1833_18	GH13_37	3	LACTARIUS	S_lactarius_ASSEMBLYK77_EHC8_1833_18	85.92
S_lactarius_ASSEMBLYK77_EHC8_1833_18	GT111	0	LACTARIUS	S_lactarius_ASSEMBLYK77_EHC8_1833_18	85.92
S_lactarius_ASSEMBLYK77_EHC8_1833_18	GT2_Glyco_tranf_2_3	2	LACTARIUS	S_lactarius_ASSEMBLYK77_EHC8_1833_18	85.92
S_lactarius_ASSEMBLYK77_EHC8_1833_18	GH13_19	4	LACTARIUS	S_lactarius_ASSEMBLYK77_EHC8_1833_18	85.92
S_lactarius_ASSEMBLYK77_EHC8_1833_18	GH26	0	LACTARIUS	S_lactarius_ASSEMBLYK77_EHC8_1833_18	85.92
S_lactarius_ASSEMBLYK77_EHC8_1833_18	PL12_1	0	LACTARIUS	S_lactarius_ASSEMBLYK77_EHC8_1833_18	85.92
