Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	True_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/220/835/GCF_000220835.1_genomic.fna.gz	8.5561	10.1929	99.47	85.271	NA-NA	HIGH	NA-NA	60	59.418	10255/12098	99.47	239	NZ_GL985606.1 Actinomyces sp. oral taxon 448 str. F0400 SCAFFOLD1, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/785/515/GCF_000785515.1_genomic.fna.gz	3.4224	3.1556	99.11	34.109	NA-NA	HIGH	NA-NA	24	22.819	7073/9341	99.11	12	NZ_CP009913.1 Streptococcus salivarius strain NCTC 8618 chromosome, complete genome
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/002/096/815/GCF_002096815.1_genomic.fna.gz	3.2798	2.7414	98.83	32.687	NA-NA	HIGH	NA-NA	23	21.666	5891/8476	98.83	336	NZ_NCVJ01000021.1 Streptococcus mitis strain RH_12363_08 s_mitis_RH_12363_08_ID_1, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/466/165/GCF_000466165.1_genomic.fna.gz	2.2816	2.2739	99.57	22.739	NA-NA	HIGH	NA-NA	16	15.851	8871/10139	99.57	30	NZ_KE951405.1 Actinobaculum sp. oral taxon 183 str. F0552 Scaffold0, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/279/535/GCF_000279535.1_genomic.fna.gz	2.1390	1.5846	98.96	21.318	NA-NA	HIGH	NA-NA	15	14.190	5365/7425	98.96	147	NZ_ALCH01000001.1 Streptococcus infantis SPAR10 GA06201.contig.0, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/001/808/955/GCF_001808955.1_genomic.fna.gz	2.1390	2.0835	95.68	21.318	NA-NA	HIGH	NA-NA	15	14.357	2542/10004	95.68	2750	NZ_KV795235.1 Rothia sp. HMSC078H08 Scaffold0, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/001/956/585/GCF_001956585.1_genomic.fna.gz	2.1390	2.8109	98.94	21.318	NA-NA	HIGH	NA-NA	15	15.506	9779/13615	98.94	2126	NZ_MSRR01000001.1 Actinomyces naeslundii strain NCTC 10301 NCTC10301_contig001, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/269/805/GCF_000269805.1_genomic.fna.gz	2.1390	3.0373	99.72	21.318	NA-NA	HIGH	NA-NA	15	14.312	13226/14406	99.72	0	NZ_JH711481.1 Actinomyces massiliensis 4401292 scaffold00001, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/175/615/GCF_000175615.1_genomic.fna.gz	2.0209	1.9197	98.10	20.141	NA-NA	HIGH	NA-NA	14	14.172	5395/9767	98.10	58	NZ_ACVO01000025.1 Rothia mucilaginosa ATCC 25296 contig00004, whole genome shotgun sequence
AIMSfeas_1000022+73325_METAG	gtdb_genomes_reps_r220/database/GCF/000/164/695/GCF_000164695.2_genomic.fna.gz	1.9367	2.0444	98.89	19.302	NA-NA	HIGH	NA-NA	13	13.581	7617/10750	98.89	508	NC_014643.1 Rothia dentocariosa ATCC 17931, complete sequence
